"nyuryoku_flg","prefecture_code","no","prefecture_name","municipality_name","event_name","event_name_kana","event_name_eng","start_date","end_date","start_time","end_time","special_note","description","price_basic","price_detail","contact_name","telephone_number","organizer","place_name","address","address_addinfo","latitude","longitude","access","parking_info","capacity","application_enddate","application_endtime","application_process","url","category","target","area","banner_flg","tag","remarks"
"0",,,,,"●冬のイベント",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"10:00","16:00",,"その月にあったイベントを開催します!",,,"たかまつイベント会社","087-888-88888","たかまつコーポレーション","サンポート高松 多目的広場、大型テント広場、高松シンボルタワー デックスガレリア、マリタイムプラザ高松","〒760-0019 香川県高松市サンポート３−３３",,"34.353022","134.045935",,,,,,,,"季節のイベント","全員","多目的広場","1","スポーツ、食事、遊び",
"0",,,,,"●ひなのまつり",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"10:00","16:00",,"学園祭（ステージイベント、キッチンカー、飲食スペース）",,,,,"専門学校穴吹工科カレッジ","多目的広場","〒760-0019 香川県高松市サンポート３−３４",,"34.353022","134.045935",,,,,,,,"お祭り","全員","多目的広場","1","学祭、買い物、遊び",
"0",,,,,"●肉フェス",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"11:00","17:00",,"いろんなキッチンカーが、きます！",,,,,"シンボルタワー開発株式会社","マリタイムプラザ高松","〒760-0019 香川県高松市サンポート２−１",,"34.3527177489239","134.047021561485",,,,,,,,"食事","大人","なし","1","マルシェ、買い物",
"0",,,,,"●フリーマーケット",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"13:30","16:15",,"さまざまな雑貨がお手頃価格で！",,,"サンポート高松ビュッフェコーナー",,"サンポート高松ビュッフェコーナー","展示場（ホール棟1F）","〒760-0019 香川県高松市サンポート２−１",,"34.3527199236397","134.046968902946",,,,,,,,"買い物","全員","なし","1","マルシェ、買い物",
"0",,,,,"●美大生による個展",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"11:00","13:00",,"独創的な世界へようこそ",,"一般　　￥1,500
こども　￥500","サンポートホール高松　2F管理事務室",,"香川県公立文化施設協議会","香川県教育会館　ミューズホール","高松市西宝町2丁目6番40号",,"34.3528360362159","134.047105332447",,,,,,,,"文化・芸術","全員","なし","1","絵画、アート",
"0",,,,,"●コンサート",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"10:30","16:00",,"お気軽にお立ち寄りください",,,,,"有限会社たかまつ","市民ギャラリー（ホール棟1F）","〒760-0019 香川県高松市サンポート２−１",,"34.3527199236397","134.046968902946",,,,,,,,"音楽","大人","なし","1","音楽、コンサート",
"0",,,,,"●剣道大会",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"10:00","17:00",,"刀剣展示即売会",,,,,"株式会社安東貿易","市民ギャラリー（ホール棟1F）","〒760-0019 香川県高松市サンポート２−１",,"34.3527199236397","134.046968902946",,,,,,,,"スポーツ・ウェルネス","大人","なし","1","刀、展示会",
"0",,,,,"●高松城「お城ヨガ」",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"6:30","7:20","雨天中止","毎週金曜日の早朝6時30分、園内「桜の馬場」で「お城ヨガ」が開催。アイアンガーヨガ認定指導員が丁寧に指導してくれる。艮櫓（うしとらやぐら）や天守台石垣を背景に楽しむヨガは格別。",,"参加費500円（入園料200円別途）","玉藻公園管理事務所",,"玉藻公園管理事務所","史跡高松城跡玉藻公園「桜の馬場」","高松市玉藻町2-1玉藻公園管理事務所",,"34.3490008265345","134.051303574615","高松自動車道高松中央ICより約20分",,,,,,,"趣味・生活","全員","玉藻公園","1","健康、福祉、教育",
"0",,,,,"●エクセル講座",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"18:00","20:00",,"初心者の方も経験者の方も大歓迎！","7000","1000円",,,"株式会社たかまつ","レクザムホール　大ホール","香川県高松市玉藻町9-10",,"34.350698","134.052923","JR高松駅から徒歩8分",,,,,,,"キャリア・ビジネス","大人","なし","1","パソコン、エクセル",
"0",,,,,"●テスト",,,2024-02-15T00:00:00.000Z,2024-12-31T00:00:00.000Z,"10:00","20:00",,"テストテストテストテストテストテストテストテストテストテストテストテスト",,,"テストテストテストテストテストテストテストテストテストテスト","11-1111-1111","テストテストテストテストテストテストテストテスト","テストテストテストテスト","テストテストテストテスト",,"34.3512624580558","134.047333240393","JR高松駅から徒歩8分",,,,,,,"その他","大人","高松駅前広場","1","テスト",
